time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-20 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,0,0,4,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,1,1,0,0
2025-08-06 00:00:00+00:00,0,0,2,1
2025-08-08 00:00:00+00:00,0,0,2,1
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-18 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,0,0,1,1
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,3,1
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
