time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,1,1,0,0
2025-06-20 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-02 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,5,5,0,0
2025-07-23 00:00:00+00:00,6,5,0,0
2025-08-08 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,3,3,0,0
2025-08-18 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,2,1,0,0
