time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,12,10,0,0
2025-06-10 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,1,1,0,0
2025-06-17 00:00:00+00:00,1,1,0,0
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-20 00:00:00+00:00,0,0,8,1
2025-06-21 00:00:00+00:00,1,1,4,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,5,5,3,1
2025-07-10 00:00:00+00:00,3,3,4,2
2025-07-11 00:00:00+00:00,4,3,10,1
2025-07-12 00:00:00+00:00,2,2,0,0
2025-07-14 00:00:00+00:00,1,1,0,0
2025-07-24 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-03 00:00:00+00:00,1,1,0,0
2025-08-08 00:00:00+00:00,11,9,9,2
2025-08-10 00:00:00+00:00,1,1,0,0
2025-08-11 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,1,1
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,0,0,1,1
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,0,0,9,1
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,11,10,9,1
2025-10-08 00:00:00+00:00,2,2,0,0
2025-10-09 00:00:00+00:00,2,2,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,0,0,1,1
2025-10-29 00:00:00+00:00,0,0,1,1
2025-11-02 00:00:00+00:00,3,2,0,0
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,0,0,1,1
2025-11-07 00:00:00+00:00,2,1,0,0
2025-11-11 00:00:00+00:00,1,1,1,1
2025-11-14 00:00:00+00:00,1,1,0,0
