time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,2,2,0,0
2025-06-18 00:00:00+00:00,2,2,0,0
2025-06-21 00:00:00+00:00,0,0,1,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,3,2,0,0
2025-07-22 00:00:00+00:00,10,6,0,0
2025-07-23 00:00:00+00:00,13,11,0,0
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-11 00:00:00+00:00,3,3,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,2,2,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,2,2,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-04 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,3,3,0,0
2025-09-16 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-14 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,2,1,0,0
2025-10-27 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-24 00:00:00+00:00,0,0,9,1
2025-11-25 00:00:00+00:00,1,1,1,1
2025-11-27 00:00:00+00:00,1,1,0,0
