time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,1,1,0,0
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,0,0,1,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,2,2,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-28 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,2,2,0,0
2025-08-29 00:00:00+00:00,1,1,9,1
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
