time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-02 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,7,7,0,0
2025-07-23 00:00:00+00:00,1,1,0,0
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,2,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-19 00:00:00+00:00,2,2,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,2,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,1,1,0,0
2025-10-31 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-12 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-29 00:00:00+00:00,1,1,0,0
2025-12-12 00:00:00+00:00,0,0,1,1
2025-12-20 00:00:00+00:00,1,1,0,0
2025-12-21 00:00:00+00:00,1,1,0,0
2025-12-24 00:00:00+00:00,1,1,0,0
2025-12-26 00:00:00+00:00,1,1,0,0
