time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,2,2,0,0
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-23 00:00:00+00:00,0,0,5,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-08 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,5,5,6,1
2025-07-23 00:00:00+00:00,6,6,0,0
2025-07-24 00:00:00+00:00,1,1,0,0
2025-07-25 00:00:00+00:00,0,0,1,1
2025-07-26 00:00:00+00:00,0,0,1,1
2025-08-04 00:00:00+00:00,1,1,0,0
2025-08-11 00:00:00+00:00,2,2,0,0
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,1,1
2025-09-16 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,2,2,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,2,2,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
