time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,0,0,3,1
2025-06-25 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,2,2,0,0
2025-07-23 00:00:00+00:00,4,4,0,0
2025-07-24 00:00:00+00:00,10,10,0,0
2025-07-25 00:00:00+00:00,13,12,0,0
2025-07-26 00:00:00+00:00,8,8,0,0
2025-08-17 00:00:00+00:00,2,2,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,0,0,2,1
2025-08-27 00:00:00+00:00,0,0,2,1
2025-08-28 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,2,1
2025-09-05 00:00:00+00:00,1,1,3,1
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-22 00:00:00+00:00,0,0,6,2
2025-09-23 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,0,0,1,1
2025-10-24 00:00:00+00:00,2,2,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,2,2,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-19 00:00:00+00:00,1,1,0,0
2025-11-27 00:00:00+00:00,1,1,0,0
2025-12-04 00:00:00+00:00,1,1,0,0
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,2,2,0,0
2025-12-21 00:00:00+00:00,1,1,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,1,1,0,0
2025-12-25 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,1,1,0,0
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,1,1,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,0,0,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
2026-01-03 00:00:00+00:00,0,0,0,0
2026-01-04 00:00:00+00:00,2,2,0,0
2026-01-05 00:00:00+00:00,1,1,0,0
2026-01-06 00:00:00+00:00,0,0,0,0
2026-01-07 00:00:00+00:00,0,0,0,0
2026-01-08 00:00:00+00:00,0,0,0,0
2026-01-09 00:00:00+00:00,1,1,0,0
