time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-18 00:00:00+00:00,1,1,0,0
2025-07-25 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,2,2,0,0
2025-10-14 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-30 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,0,0,1,1
2025-11-08 00:00:00+00:00,1,1,1,1
2025-11-11 00:00:00+00:00,1,1,0,0
2025-12-03 00:00:00+00:00,1,1,0,0
