time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,1,1,0,0
2025-06-26 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,4,4,0,0
2025-06-29 00:00:00+00:00,2,2,0,0
2025-06-30 00:00:00+00:00,7,6,0,0
2025-07-01 00:00:00+00:00,4,4,0,0
2025-07-02 00:00:00+00:00,5,4,0,0
2025-07-03 00:00:00+00:00,4,4,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,3,2,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-19 00:00:00+00:00,0,0,1,1
2025-11-20 00:00:00+00:00,0,0,1,1
2025-11-21 00:00:00+00:00,0,0,1,1
