time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-09 00:00:00+00:00,25,23,45,1
2025-06-10 00:00:00+00:00,4,3,0,0
2025-06-11 00:00:00+00:00,0,0,2,1
2025-06-13 00:00:00+00:00,0,0,1,1
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-18 00:00:00+00:00,2,2,0,0
2025-06-21 00:00:00+00:00,6,6,11,1
2025-06-23 00:00:00+00:00,2,2,3,1
2025-06-29 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,0,0,10,1
2025-07-06 00:00:00+00:00,1,1,8,1
2025-07-09 00:00:00+00:00,0,0,2,2
