time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-17 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,2,2,0,0
2025-07-23 00:00:00+00:00,4,4,0,0
2025-07-24 00:00:00+00:00,11,11,0,0
2025-07-25 00:00:00+00:00,12,12,0,0
2025-07-26 00:00:00+00:00,7,7,0,0
2025-08-14 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,0,0,3,1
2025-09-09 00:00:00+00:00,1,1,1,1
2025-09-10 00:00:00+00:00,0,0,8,1
2025-09-12 00:00:00+00:00,1,1,0,0
2025-09-13 00:00:00+00:00,0,0,3,1
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-08 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,2,2,0,0
2025-10-14 00:00:00+00:00,4,4,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,2,2,0,0
2025-10-20 00:00:00+00:00,0,0,1,1
2025-10-24 00:00:00+00:00,0,0,1,1
2025-10-25 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,1,1
2025-10-31 00:00:00+00:00,1,1,1,1
2025-11-01 00:00:00+00:00,0,0,3,1
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-05 00:00:00+00:00,0,0,1,1
2025-11-12 00:00:00+00:00,1,1,0,0
2025-11-13 00:00:00+00:00,0,0,1,1
2025-11-16 00:00:00+00:00,1,1,1,1
2025-11-21 00:00:00+00:00,0,0,1,1
2025-11-24 00:00:00+00:00,0,0,1,1
2025-11-29 00:00:00+00:00,0,0,1,1
2025-11-30 00:00:00+00:00,1,1,0,0
2025-12-01 00:00:00+00:00,0,0,7,1
2025-12-02 00:00:00+00:00,0,0,2,2
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-12 00:00:00+00:00,1,1,0,0
2025-12-17 00:00:00+00:00,0,0,1,1
2025-12-18 00:00:00+00:00,1,1,0,0
2025-12-19 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,0,0,1,1
2025-12-21 00:00:00+00:00,1,1,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,1,1,0,0
2025-12-24 00:00:00+00:00,1,1,0,0
2025-12-25 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,0,0,1,1
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,2,2,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,1,1,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
